Fashion Week,Topic,Day,Mentions,Impressions,Engagements
3,Emergingtalent,13,335,1166914,149
3,Emergingtalent,14,55,716339,60
3,Emergingtalent,15,28,35223,20
3,Emergingtalent,16,12,18075,6
3,Emergingtalent,17,8,2653,11
3,Emergingtalent,18,27,315600,5
3,Emergingtalent,19,22,58671,5
3,Heritage,1,82,769477,0
3,Heritage,2,59,302247,3
3,Heritage,3,110,1704572,8
3,Heritage,4,219,1433949,11
3,Heritage,5,201,2448352,42
3,Heritage,6,137,551277,21
3,Heritage,7,184,1260191,13
3,Heritage,8,315,2586092,68
3,Heritage,9,470,4026946,107
3,Heritage,10,441,6232840,79
3,Heritage,11,386,2215091,60
3,Heritage,12,553,4705126,68
3,Heritage,13,585,3969106,54
3,Heritage,14,252,1344263,21
3,Heritage,15,172,759458,20
3,Heritage,16,127,618393,24
3,Heritage,17,63,590907,14
3,Heritage,18,167,1323520,26
3,Heritage,19,108,245866,19
3,Modelhealth,1,16,52909,1
3,Modelhealth,2,7,2771,5
3,Modelhealth,3,28,515537,0
3,Modelhealth,4,15,9808,0
3,Modelhealth,5,12,99631,0
3,Modelhealth,6,16,21709,2
3,Modelhealth,7,23,175763,22
3,Modelhealth,8,166,2103142,102
3,Modelhealth,9,125,1417384,102
3,Modelhealth,10,92,6039649,83
3,Modelhealth,11,106,1904571,51
3,Modelhealth,12,64,577088,17
3,Modelhealth,13,69,370654,3
3,Modelhealth,14,33,91730,2
3,Modelhealth,15,50,323220,301
3,Modelhealth,16,33,383517,117
3,Modelhealth,17,11,211909,10
3,Modelhealth,18,19,285349,16
3,Modelhealth,19,17,49403,8
3,Personalisation,1,29,337824,3
3,Personalisation,2,27,123606,2
3,Personalisation,3,59,394953,4
3,Personalisation,4,57,367495,3
3,Personalisation,5,80,275102,11
3,Personalisation,6,49,689758,32
3,Personalisation,7,51,125696,12
3,Personalisation,8,91,700165,13
3,Personalisation,9,69,317911,7
3,Personalisation,10,198,1547182,61
3,Personalisation,11,161,814911,20
3,Personalisation,12,174,1969231,59
3,Personalisation,13,153,334426,29
3,Personalisation,14,89,439383,5
3,Personalisation,15,69,900026,7
3,Personalisation,16,36,258310,5
3,Personalisation,17,30,150347,0
3,Personalisation,18,61,239337,7
3,Personalisation,19,51,162821,2
